Game,Opponent,Opponent Division,Opponent Pitcher,Opponent Pitcher Hand,Home v Away,Stadium,Game Start,Temperature ,Game Conditions,HP Umpire,Inning,At Bat #,Pitch,Pitch Type,Pitch Speed,Times seen pitch in at bat,Times seen pitch in game,pre-pitch balls,pre-pitch strikes,Result,Location,First At Bat,Second At Bat,Third At Bat,Fourth At Bat,Faced Team Before?,AL East?,Faced Pitcher Before?,How Many Times?,40-50 Deg,50-60 Deg,60-70 Deg,70-80 Deg,80+ Deg,Ball In Play,>4 Pitches,>5 Pitches,>6 Pitches,>7 Pitches,CY Young P,2021 All Star P,Late Game,Extra Innings,PP FB,PP Cut,PP Change,PP Curve,PP Slider,PP Sinker,PP Splitter,PP Knuckle Cv,,,,,,,,,,
4,Rangers,AL West,K. Cody,Right,Away,Globe Life Park,Mid-Afternoon,73,Partly Cloudy,J. Visconti,6,3,4,Sinker,96.3,0,0,1,2,Ball,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,
4,Rangers,AL West,K. Cody,Right,Away,Globe Life Park,Mid-Afternoon,73,Partly Cloudy,J. Visconti,6,3,5,Slider,83.3,3,3,2,2,Ground out,Left field,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,
4,Rangers,AL West,K. Cody,Right,Away,Globe Life Park,Mid-Afternoon,73,Partly Cloudy,J. Visconti,7,4,1,Slider,81.1,0,4,0,0,Foul,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,
4,Rangers,AL West,K. Cody,Right,Away,Globe Life Park,Mid-Afternoon,73,Partly Cloudy,J. Visconti,7,4,2,Changeup,84.4,0,0,0,1,Reached on Error,Left field,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,
5,Rangers,AL West,D. Dunning,Right,Away,Globe Life Park,Night,72,Roof Closed,J. Meals,1,1,1,Sinker,91.6,0,0,0,0,Ball,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
5,Rangers,AL West,D. Dunning,Right,Away,Globe Life Park,Night,72,Roof Closed,J. Meals,1,1,2,Sinker,91.9,1,1,1,0,Foul,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,
5,Rangers,AL West,D. Dunning,Right,Away,Globe Life Park,Night,72,Roof Closed,J. Meals,1,1,3,Cutter,87.6,0,0,1,1,Ball,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,
5,Rangers,AL West,D. Dunning,Right,Away,Globe Life Park,Night,72,Roof Closed,J. Meals,1,1,4,Sinker,91.4,2,2,2,1,Ball,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,
5,Rangers,AL West,D. Dunning,Right,Away,Globe Life Park,Night,72,Roof Closed,J. Meals,1,1,5,Sinker,89.8,3,3,3,1,Foul,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,
5,Rangers,AL West,D. Dunning,Right,Away,Globe Life Park,Night,72,Roof Closed,J. Meals,1,1,6,Cutter,88.2,1,1,3,2,Single,Centre field,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,
